,cityid,cityname,stateabbrev,statename,statefips,city_pop2019,year,month,day,case_count,new_case_count,case_rate,new_case_rate,gps_away_from_home,New Cases Per Million People,Total Cases Per Million People
769,9,Seattle,WA,Washington,53,2252782,2020,8,8,16491,200,732.0,6.8,-0.157,89.0,7320.0
970,13,Detroit,MI,Michigan,26,1749343,2020,8,8,28115,135,1607.0,7.41,-0.0628,77.0,16072.0
1171,21,San Francisco,CA,California,6,881549,2020,8,8,7435,106,843.0,11.5,-0.253,120.0,8434.0
1372,25,Boston,MA,Massachusetts,25,803907,2020,8,8,21778,61,2709.0,8.87,-0.14,76.0,27090.0
1573,28,Denver,CO,Colorado,8,727211,2020,8,8,10173,51,1399.0,9.43,-0.10099999999999999,70.0,13989.0
1774,38,Miami,FL,Florida,12,2716940,2020,8,8,131216,1808,4830.0,52.6,-0.18100000000000002,665.0,48296.0
1975,48,Honolulu,HI,Hawaii,15,974563,2020,8,8,2964,223,304.0,16.4,-0.157,229.0,3041.0
165,1,Los Angeles,CA,California,6,10039107,2020,8,7,204167,3061,2034.0,22.3,-0.152,305.0,20337.0
366,2,New York City,NY,New York,36,8336817,2020,8,7,231942,342,2782.0,3.61,-0.139,41.0,27821.0
567,7,Dallas,TX,Texas,48,2635516,2020,8,7,55320,589,2099.0,21.8,-0.114,223.0,20990.0
768,9,Seattle,WA,Washington,53,2252782,2020,8,7,16291,134,723.0,6.82,-0.155,59.0,7232.0
969,13,Detroit,MI,Michigan,26,1749343,2020,8,7,27980,119,1599.0,7.25,-0.0678,68.0,15995.0
1170,21,San Francisco,CA,California,6,881549,2020,8,7,7329,98,831.0,12.2,-0.253,111.0,8314.0
1371,25,Boston,MA,Massachusetts,25,803907,2020,8,7,21717,86,2701.0,8.8,-0.13699999999999998,107.0,27014.0
1572,28,Denver,CO,Colorado,8,727211,2020,8,7,10122,70,1392.0,9.8,-0.10099999999999999,96.0,13919.0
1773,38,Miami,FL,Florida,12,2716940,2020,8,7,129408,1732,4763.0,57.6,-0.198,637.0,47630.0
1974,48,Honolulu,HI,Hawaii,15,974563,2020,8,7,2741,200,281.0,14.5,-0.149,205.0,2813.0
164,1,Los Angeles,CA,California,6,10039107,2020,8,6,201106,3194,2003.0,21.7,-0.152,318.0,20032.0
365,2,New York City,NY,New York,36,8336817,2020,8,6,231600,332,2778.0,3.51,-0.139,40.0,27780.0
566,7,Dallas,TX,Texas,48,2635516,2020,8,6,54731,414,2077.0,29.6,-0.114,157.0,20767.0
767,9,Seattle,WA,Washington,53,2252782,2020,8,6,16157,192,717.0,6.97,-0.155,85.0,7172.0
968,13,Detroit,MI,Michigan,26,1749343,2020,8,6,27861,148,1593.0,7.45,-0.0678,85.0,15927.0
1169,21,San Francisco,CA,California,6,881549,2020,8,6,7231,147,820.0,13,-0.253,167.0,8203.0
1370,25,Boston,MA,Massachusetts,25,803907,2020,8,6,21631,52,2691.0,9.21,-0.136,65.0,26907.0
1571,28,Denver,CO,Colorado,8,727211,2020,8,6,10052,84,1382.0,10.3,-0.0998,116.0,13823.0
1772,38,Miami,FL,Florida,12,2716940,2020,8,6,127676,1728,4699.0,61.8,-0.198,636.0,46993.0
1973,48,Honolulu,HI,Hawaii,15,974563,2020,8,6,2541,147,261.0,13.3,-0.14800000000000002,151.0,2607.0
163,1,Los Angeles,CA,California,6,10039107,2020,8,5,197912,2298,1971.0,20.7,-0.152,229.0,19714.0
364,2,New York City,NY,New York,36,8336817,2020,8,5,231268,304,2774.0,3.48,-0.141,36.0,27741.0
565,7,Dallas,TX,Texas,48,2635516,2020,8,5,54317,508,2061.0,30.3,-0.114,193.0,20610.0
766,9,Seattle,WA,Washington,53,2252782,2020,8,5,15965,167,709.0,6.77,-0.152,74.0,7087.0
967,13,Detroit,MI,Michigan,26,1749343,2020,8,5,27713,124,1584.0,8.16,-0.0693,71.0,15842.0
1168,21,San Francisco,CA,California,6,881549,2020,8,5,7084,92,804.0,14.3,-0.253,104.0,8036.0
1369,25,Boston,MA,Massachusetts,25,803907,2020,8,5,21579,98,2684.0,9.76,-0.13699999999999998,122.0,26843.0
1570,28,Denver,CO,Colorado,8,727211,2020,8,5,9968,92,1371.0,9.55,-0.0998,127.0,13707.0
1771,38,Miami,FL,Florida,12,2716940,2020,8,5,125948,1190,4636.0,67.3,-0.198,438.0,46357.0
1972,48,Honolulu,HI,Hawaii,15,974563,2020,8,5,2394,173,246.0,12.9,-0.146,178.0,2456.0
162,1,Los Angeles,CA,California,6,10039107,2020,8,4,195614,1826,1949.0,24.2,-0.154,182.0,19485.0
363,2,New York City,NY,New York,36,8336817,2020,8,4,230964,316,2770.0,3.47,-0.14300000000000002,38.0,27704.0
564,7,Dallas,TX,Texas,48,2635516,2020,8,4,53809,785,2042.0,31.3,-0.114,298.0,20417.0
765,9,Seattle,WA,Washington,53,2252782,2020,8,4,15798,145,701.0,6.66,-0.152,64.0,7013.0
