,cityid,cityname,stateabbrev,statename,statefips,city_pop2019,year,month,day,case_count,new_case_count,case_rate,new_case_rate,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home
504,7,Dallas,TX,Texas,48,2635516,2020,6,5,11541,298,438.0,9.51,-0.18899999999999997,-0.0357,0.134,-0.301,-0.32,0.109,-0.129
705,9,Seattle,WA,Washington,53,2252782,2020,6,5,8398,63,373.0,2.47,-0.439,-0.154,0.307,-0.57,-0.493,0.19899999999999998,-0.239
906,13,Detroit,MI,Michigan,26,1749343,2020,6,5,21065,452,1204.0,6.66,-0.19,-0.0286,0.946,-0.35700000000000004,-0.363,0.106,-0.124
1107,21,San Francisco,CA,California,6,881549,2020,6,5,2701,54,306.0,3.65,-0.6759999999999999,-0.29600000000000004,-0.221,-0.6709999999999999,-0.564,0.264,-0.317
1308,25,Boston,MA,Massachusetts,25,803907,2020,6,5,18858,68,2346.0,19.0,-0.5,-0.17600000000000002,0.29,-0.6890000000000001,-0.473,0.18600000000000003,-0.21899999999999997
1509,28,Denver,CO,Colorado,8,727211,2020,6,5,6041,64,831.0,9.27,-0.354,-0.0486,0.34600000000000003,-0.584,-0.374,0.124,-0.14800000000000002
1710,38,Miami,FL,Florida,12,2716940,2020,6,5,19055,277,701.0,7.44,-0.316,-0.153,-0.534,-0.547,-0.306,0.151,-0.183
1911,48,Honolulu,HI,Hawaii,15,974563,2020,6,5,431,7,44.2,0.176,-0.341,-0.11599999999999999,-0.233,-0.57,-0.32,0.14300000000000002,-0.172
101,1,Los Angeles,CA,California,6,10039107,2020,6,4,59650,1416,594.0,14.1,-0.441,-0.14,-0.213,-0.433,-0.366,0.171,-0.21
302,2,New York City,NY,New York,36,8336817,2020,6,4,210227,539,2522.0,7.49,-0.507,-0.14400000000000002,0.40700000000000003,-0.552,-0.48,0.198,-0.23199999999999998
503,7,Dallas,TX,Texas,48,2635516,2020,6,4,11243,285,427.0,8.98,-0.18899999999999997,-0.0371,0.151,-0.3,-0.32,0.11,-0.13
704,9,Seattle,WA,Washington,53,2252782,2020,6,4,8335,56,370.0,2.2,-0.441,-0.156,0.359,-0.57,-0.493,0.19899999999999998,-0.239
905,13,Detroit,MI,Michigan,26,1749343,2020,6,4,20613,49,1178.0,4.34,-0.19899999999999998,-0.04,0.887,-0.35700000000000004,-0.366,0.111,-0.129
1106,21,San Francisco,CA,California,6,881549,2020,6,4,2647,31,300.0,3.35,-0.6759999999999999,-0.299,-0.21100000000000002,-0.6729999999999999,-0.564,0.266,-0.319
1307,25,Boston,MA,Massachusetts,25,803907,2020,6,4,18790,57,2337.0,19.4,-0.503,-0.17600000000000002,0.29100000000000004,-0.691,-0.47600000000000003,0.18899999999999997,-0.222
1508,28,Denver,CO,Colorado,8,727211,2020,6,4,5977,60,822.0,10.7,-0.35600000000000004,-0.0543,0.34700000000000003,-0.586,-0.376,0.127,-0.151
1709,38,Miami,FL,Florida,12,2716940,2020,6,4,18778,323,691.0,7.27,-0.319,-0.154,-0.529,-0.55,-0.307,0.153,-0.184
1910,48,Honolulu,HI,Hawaii,15,974563,2020,6,4,424,1,43.5,0.103,-0.34700000000000003,-0.12,-0.23600000000000002,-0.5670000000000001,-0.324,0.146,-0.175
100,1,Los Angeles,CA,California,6,10039107,2020,6,3,58234,1116,580.0,13.6,-0.446,-0.146,-0.207,-0.434,-0.366,0.17300000000000001,-0.212
301,2,New York City,NY,New York,36,8336817,2020,6,3,209688,493,2515.0,8.41,-0.51,-0.149,0.355,-0.556,-0.483,0.19899999999999998,-0.23399999999999999
502,7,Dallas,TX,Texas,48,2635516,2020,6,3,10958,239,416.0,8.53,-0.18899999999999997,-0.0386,0.166,-0.3,-0.32,0.111,-0.132
703,9,Seattle,WA,Washington,53,2252782,2020,6,3,8279,42,368.0,2.19,-0.44299999999999995,-0.159,0.38,-0.5710000000000001,-0.493,0.19899999999999998,-0.239
904,13,Detroit,MI,Michigan,26,1749343,2020,6,3,20564,73,1176.0,4.43,-0.20600000000000002,-0.0457,0.8170000000000001,-0.36,-0.37,0.11599999999999999,-0.134
1105,21,San Francisco,CA,California,6,881549,2020,6,3,2616,26,297.0,3.32,-0.677,-0.304,-0.226,-0.6729999999999999,-0.564,0.267,-0.32
1306,25,Boston,MA,Massachusetts,25,803907,2020,6,3,18733,97,2330.0,20.2,-0.509,-0.183,0.256,-0.696,-0.479,0.193,-0.226
1507,28,Denver,CO,Colorado,8,727211,2020,6,3,5917,63,814.0,11.8,-0.35600000000000004,-0.0543,0.344,-0.586,-0.379,0.129,-0.152
1708,38,Miami,FL,Florida,12,2716940,2020,6,3,18455,232,679.0,6.47,-0.317,-0.149,-0.511,-0.547,-0.309,0.151,-0.183
1909,48,Honolulu,HI,Hawaii,15,974563,2020,6,3,423,1,43.4,0.132,-0.35,-0.12,-0.237,-0.569,-0.327,0.147,-0.177
99,1,Los Angeles,CA,California,6,10039107,2020,6,2,57118,1150,569.0,13.2,-0.45,-0.156,-0.196,-0.433,-0.366,0.17300000000000001,-0.212
300,2,New York City,NY,New York,36,8336817,2020,6,2,209195,645,2509.0,8.71,-0.504,-0.142,0.397,-0.5529999999999999,-0.484,0.19699999999999998,-0.231
501,7,Dallas,TX,Texas,48,2635516,2020,6,2,10719,257,407.0,8.3,-0.19,-0.0471,0.17600000000000002,-0.301,-0.321,0.113,-0.133
702,9,Seattle,WA,Washington,53,2252782,2020,6,2,8237,43,366.0,2.15,-0.44299999999999995,-0.16,0.431,-0.5710000000000001,-0.494,0.19899999999999998,-0.239
903,13,Detroit,MI,Michigan,26,1749343,2020,6,2,20491,22,1171.0,4.43,-0.21600000000000003,-0.0586,0.789,-0.366,-0.376,0.11900000000000001,-0.13699999999999998
1104,21,San Francisco,CA,California,6,881549,2020,6,2,2590,17,294.0,3.05,-0.679,-0.306,-0.24600000000000002,-0.674,-0.564,0.26899999999999996,-0.322
1305,25,Boston,MA,Massachusetts,25,803907,2020,6,2,18636,55,2318.0,19.6,-0.509,-0.18600000000000003,0.276,-0.6990000000000001,-0.48100000000000004,0.193,-0.226
1506,28,Denver,CO,Colorado,8,727211,2020,6,2,5854,52,805.0,11.5,-0.36,-0.0614,0.324,-0.5870000000000001,-0.381,0.131,-0.156
1707,38,Miami,FL,Florida,12,2716940,2020,6,2,18223,85,671.0,5.55,-0.319,-0.146,-0.509,-0.546,-0.311,0.151,-0.183
1908,48,Honolulu,HI,Hawaii,15,974563,2020,6,2,422,1,43.3,0.117,-0.35600000000000004,-0.127,-0.253,-0.57,-0.331,0.15,-0.18
98,1,Los Angeles,CA,California,6,10039107,2020,6,1,55968,972,557.0,14.2,-0.447,-0.156,-0.17300000000000001,-0.43,-0.364,0.17,-0.209
299,2,New York City,NY,New York,36,8336817,2020,6,1,208550,465,2502.0,8.54,-0.501,-0.14,0.43700000000000006,-0.5529999999999999,-0.485,0.195,-0.23
500,7,Dallas,TX,Texas,48,2635516,2020,6,1,10462,228,397.0,7.94,-0.191,-0.0486,0.17300000000000001,-0.301,-0.32299999999999995,0.114,-0.135
701,9,Seattle,WA,Washington,53,2252782,2020,6,1,8194,33,364.0,1.98,-0.44299999999999995,-0.163,0.46,-0.573,-0.496,0.19699999999999998,-0.23800000000000002
902,13,Detroit,MI,Michigan,26,1749343,2020,6,1,20469,31,1170.0,5.14,-0.22399999999999998,-0.0671,0.7559999999999999,-0.371,-0.381,0.121,-0.14
1103,21,San Francisco,CA,California,6,881549,2020,6,1,2573,12,292.0,2.98,-0.679,-0.301,-0.24100000000000002,-0.6729999999999999,-0.5660000000000001,0.267,-0.32
1304,25,Boston,MA,Massachusetts,25,803907,2020,6,1,18581,645,2311.0,19.6,-0.51,-0.187,0.27899999999999997,-0.701,-0.484,0.193,-0.226
1505,28,Denver,CO,Colorado,8,727211,2020,6,1,5802,27,798.0,11.5,-0.366,-0.0686,0.317,-0.5870000000000001,-0.384,0.133,-0.157
1706,38,Miami,FL,Florida,12,2716940,2020,6,1,18138,139,668.0,5.77,-0.33,-0.159,-0.521,-0.5529999999999999,-0.314,0.154,-0.18600000000000003
1907,48,Honolulu,HI,Hawaii,15,974563,2020,6,1,421,0,43.2,0.103,-0.36,-0.13,-0.267,-0.573,-0.337,0.153,-0.183
97,1,Los Angeles,CA,California,6,10039107,2020,5,31,54996,1345,548.0,14.2,-0.44299999999999995,-0.147,-0.17,-0.433,-0.366,0.16899999999999998,-0.207
298,2,New York City,NY,New York,36,8336817,2020,5,31,208085,546,2496.0,8.83,-0.509,-0.146,0.41200000000000003,-0.5589999999999999,-0.49,0.19899999999999998,-0.23399999999999999
499,7,Dallas,TX,Texas,48,2635516,2020,5,31,10234,228,388.0,7.63,-0.196,-0.0529,0.174,-0.307,-0.326,0.11699999999999999,-0.138
700,9,Seattle,WA,Washington,53,2252782,2020,5,31,8161,105,362.0,2.16,-0.446,-0.166,0.45,-0.579,-0.499,0.19899999999999998,-0.239
901,13,Detroit,MI,Michigan,26,1749343,2020,5,31,20438,161,1168.0,5.26,-0.253,-0.0829,,-0.397,-0.39299999999999996,0.131,-0.151
1102,21,San Francisco,CA,California,6,881549,2020,5,31,2561,26,291.0,3.1,-0.6809999999999999,-0.301,-0.244,-0.6759999999999999,-0.57,0.26899999999999996,-0.322
1303,25,Boston,MA,Massachusetts,25,803907,2020,5,31,17936,63,2231.0,9.22,-0.521,-0.19399999999999998,0.25,-0.7090000000000001,-0.493,0.19699999999999998,-0.231
1504,28,Denver,CO,Colorado,8,727211,2020,5,31,5775,85,794.0,11.8,-0.371,-0.0757,0.314,-0.596,-0.39,0.136,-0.16
1705,38,Miami,FL,Florida,12,2716940,2020,5,31,17999,174,662.0,6.07,-0.34600000000000003,-0.17300000000000001,-0.539,-0.564,-0.321,0.159,-0.191
1906,48,Honolulu,HI,Hawaii,15,974563,2020,5,31,421,0,43.2,0.103,-0.37,-0.139,-0.29100000000000004,-0.581,-0.34600000000000003,0.157,-0.188
96,1,Los Angeles,CA,California,6,10039107,2020,5,30,53651,2089,534.0,13.7,-0.43700000000000006,-0.13,-0.14,-0.43,-0.371,0.166,-0.201
297,2,New York City,NY,New York,36,8336817,2020,5,30,207539,739,2489.0,9.39,-0.512,-0.145,0.389,-0.563,-0.501,0.2,-0.235
498,7,Dallas,TX,Texas,48,2635516,2020,5,30,10006,219,380.0,7.36,-0.203,-0.06,0.14,-0.32,-0.337,0.11900000000000001,-0.141
699,9,Seattle,WA,Washington,53,2252782,2020,5,30,8056,48,358.0,1.84,-0.44,-0.161,0.546,-0.58,-0.507,0.19399999999999998,-0.231
900,13,Detroit,MI,Michigan,26,1749343,2020,5,30,20277,27,1159.0,4.57,-0.256,-0.0743,,-0.39299999999999996,-0.40299999999999997,0.13,-0.149
1101,21,San Francisco,CA,California,6,881549,2020,5,30,2535,59,288.0,2.95,-0.6759999999999999,-0.29100000000000004,-0.19399999999999998,-0.6709999999999999,-0.58,0.264,-0.313
1302,25,Boston,MA,Massachusetts,25,803907,2020,5,30,17873,87,2223.0,10.3,-0.529,-0.203,0.16899999999999998,-0.721,-0.507,0.2,-0.237
1503,28,Denver,CO,Colorado,8,727211,2020,5,30,5690,121,782.0,10.6,-0.384,-0.0871,0.21100000000000002,-0.607,-0.40700000000000003,0.14,-0.16899999999999998
1704,38,Miami,FL,Florida,12,2716940,2020,5,30,17825,185,656.0,5.95,-0.363,-0.191,-0.5760000000000001,-0.574,-0.337,0.16399999999999998,-0.203
1905,48,Honolulu,HI,Hawaii,15,974563,2020,5,30,421,2,43.2,0.103,-0.369,-0.134,-0.284,-0.584,-0.35600000000000004,0.157,-0.188
95,1,Los Angeles,CA,California,6,10039107,2020,5,29,51562,1788,514.0,12.1,-0.439,-0.12300000000000001,-0.13699999999999998,-0.43,-0.381,0.16399999999999998,-0.19899999999999998
296,2,New York City,NY,New York,36,8336817,2020,5,29,206800,946,2481.0,9.43,-0.529,-0.16399999999999998,0.204,-0.581,-0.516,0.207,-0.248
497,7,Dallas,TX,Texas,48,2635516,2020,5,29,9787,200,371.0,7.1,-0.207,-0.06,0.124,-0.327,-0.35,0.12,-0.14300000000000002
698,9,Seattle,WA,Washington,53,2252782,2020,5,29,8008,20,355.0,1.96,-0.431,-0.147,0.677,-0.5770000000000001,-0.511,0.18899999999999997,-0.22
899,13,Detroit,MI,Michigan,26,1749343,2020,5,29,20250,168,1158.0,5.13,-0.263,-0.0714,0.581,-0.39399999999999996,-0.41600000000000004,0.131,-0.151
1100,21,San Francisco,CA,California,6,881549,2020,5,29,2476,36,281.0,2.48,-0.674,-0.287,-0.161,-0.67,-0.59,0.261,-0.308
1301,25,Boston,MA,Massachusetts,25,803907,2020,5,29,17786,88,2212.0,10.8,-0.54,-0.21600000000000003,0.0643,-0.731,-0.523,0.204,-0.244
1502,28,Denver,CO,Colorado,8,727211,2020,5,29,5569,135,766.0,10.1,-0.39,-0.0843,0.2,-0.614,-0.42,0.14,-0.16899999999999998
1703,38,Miami,FL,Florida,12,2716940,2020,5,29,17640,245,649.0,5.88,-0.369,-0.196,-0.5870000000000001,-0.581,-0.34700000000000003,0.16699999999999998,-0.20800000000000002
1904,48,Honolulu,HI,Hawaii,15,974563,2020,5,29,419,2,43.0,0.0733,-0.37,-0.134,-0.29,-0.589,-0.361,0.159,-0.19
94,1,Los Angeles,CA,California,6,10039107,2020,5,28,49774,1074,496.0,11.0,-0.439,-0.11699999999999999,-0.133,-0.431,-0.384,0.16399999999999998,-0.19899999999999998
295,2,New York City,NY,New York,36,8336817,2020,5,28,205854,1073,2469.0,9.16,-0.53,-0.162,0.188,-0.581,-0.517,0.20600000000000002,-0.248
496,7,Dallas,TX,Texas,48,2635516,2020,5,28,9587,202,364.0,7.12,-0.21,-0.0571,0.11,-0.33,-0.353,0.121,-0.145
697,9,Seattle,WA,Washington,53,2252782,2020,5,28,7988,55,355.0,2.16,-0.431,-0.146,0.586,-0.581,-0.516,0.191,-0.223
898,13,Detroit,MI,Michigan,26,1749343,2020,5,28,20082,60,1148.0,4.28,-0.267,-0.0657,0.511,-0.401,-0.423,0.133,-0.152
1099,21,San Francisco,CA,California,6,881549,2020,5,28,2440,29,277.0,3.86,-0.6729999999999999,-0.281,-0.14,-0.669,-0.593,0.259,-0.305
1300,25,Boston,MA,Massachusetts,25,803907,2020,5,28,17698,102,2201.0,10.8,-0.541,-0.213,0.0943,-0.731,-0.527,0.203,-0.243
1501,28,Denver,CO,Colorado,8,727211,2020,5,28,5434,118,747.0,9.55,-0.39299999999999996,-0.0814,0.18899999999999997,-0.616,-0.424,0.14,-0.16899999999999998
1702,38,Miami,FL,Florida,12,2716940,2020,5,28,17395,171,640.0,5.41,-0.373,-0.196,-0.5870000000000001,-0.584,-0.35100000000000003,0.16899999999999998,-0.209
1903,48,Honolulu,HI,Hawaii,15,974563,2020,5,28,417,3,42.8,0.0147,-0.371,-0.13,-0.289,-0.593,-0.371,0.161,-0.193
93,1,Los Angeles,CA,California,6,10039107,2020,5,27,48700,878,485.0,11.2,-0.44,-0.114,-0.133,-0.431,-0.387,0.16399999999999998,-0.19899999999999998
294,2,New York City,NY,New York,36,8336817,2020,5,27,204781,670,2456.0,9.23,-0.529,-0.16,0.214,-0.5820000000000001,-0.519,0.207,-0.248
495,7,Dallas,TX,Texas,48,2635516,2020,5,27,9385,197,356.0,7.02,-0.213,-0.0571,0.0971,-0.33299999999999996,-0.35600000000000004,0.12300000000000001,-0.146
696,9,Seattle,WA,Washington,53,2252782,2020,5,27,7933,35,352.0,1.99,-0.43700000000000006,-0.15,0.469,-0.586,-0.52,0.196,-0.228
897,13,Detroit,MI,Michigan,26,1749343,2020,5,27,20022,73,1145.0,4.65,-0.264,-0.0614,0.5529999999999999,-0.397,-0.42700000000000005,0.133,-0.152
1098,21,San Francisco,CA,California,6,881549,2020,5,27,2411,9,273.0,3.6,-0.6729999999999999,-0.27899999999999997,-0.129,-0.67,-0.596,0.259,-0.305
1299,25,Boston,MA,Massachusetts,25,803907,2020,5,27,17596,63,2189.0,11.3,-0.5429999999999999,-0.213,0.11599999999999999,-0.731,-0.531,0.203,-0.243
1500,28,Denver,CO,Colorado,8,727211,2020,5,27,5316,47,731.0,9.0,-0.397,-0.0829,0.174,-0.619,-0.429,0.141,-0.171
1701,38,Miami,FL,Florida,12,2716940,2020,5,27,17224,57,634.0,6.26,-0.381,-0.203,-0.593,-0.589,-0.35600000000000004,0.171,-0.212
1902,48,Honolulu,HI,Hawaii,15,974563,2020,5,27,414,0,42.5,-0.0293,-0.376,-0.131,-0.301,-0.599,-0.377,0.16399999999999998,-0.196
92,1,Los Angeles,CA,California,6,10039107,2020,5,26,47822,1804,476.0,11.7,-0.44,-0.111,-0.136,-0.433,-0.39,0.166,-0.2
293,2,New York City,NY,New York,36,8336817,2020,5,26,204111,542,2448.0,9.25,-0.534,-0.162,0.182,-0.586,-0.523,0.209,-0.251
494,7,Dallas,TX,Texas,48,2635516,2020,5,26,9188,190,349.0,6.96,-0.21600000000000003,-0.0571,0.0929,-0.33299999999999996,-0.359,0.12300000000000001,-0.146
695,9,Seattle,WA,Washington,53,2252782,2020,5,26,7898,17,351.0,1.99,-0.444,-0.156,0.33399999999999996,-0.591,-0.523,0.2,-0.23199999999999998
896,13,Detroit,MI,Michigan,26,1749343,2020,5,26,19949,110,1140.0,5.2,-0.26,-0.0529,0.557,-0.39299999999999996,-0.43,0.134,-0.154
1097,21,San Francisco,CA,California,6,881549,2020,5,26,2402,13,272.0,3.5,-0.674,-0.28,-0.13699999999999998,-0.6729999999999999,-0.599,0.259,-0.305
1298,25,Boston,MA,Massachusetts,25,803907,2020,5,26,17533,53,2181.0,12.6,-0.55,-0.217,0.0671,-0.7340000000000001,-0.536,0.207,-0.248
1499,28,Denver,CO,Colorado,8,727211,2020,5,26,5269,53,725.0,9.41,-0.39899999999999997,-0.0814,0.184,-0.62,-0.431,0.14300000000000002,-0.172
1700,38,Miami,FL,Florida,12,2716940,2020,5,26,17167,127,632.0,6.45,-0.387,-0.207,-0.591,-0.591,-0.359,0.17300000000000001,-0.213
1901,48,Honolulu,HI,Hawaii,15,974563,2020,5,26,414,0,42.5,-0.0147,-0.376,-0.129,-0.303,-0.6,-0.381,0.166,-0.19699999999999998
91,1,Los Angeles,CA,California,6,10039107,2020,5,25,46018,1030,458.0,10.8,-0.44,-0.10400000000000001,-0.0671,-0.439,-0.433,0.174,-0.21
292,2,New York City,NY,New York,36,8336817,2020,5,25,203569,638,2442.0,9.35,-0.541,-0.16899999999999998,0.21100000000000002,-0.599,-0.547,0.215,-0.257
493,7,Dallas,TX,Texas,48,2635516,2020,5,25,8998,171,341.0,7.15,-0.231,-0.07,0.02,-0.364,-0.40399999999999997,0.139,-0.165
694,9,Seattle,WA,Washington,53,2252782,2020,5,25,7881,60,350.0,2.22,-0.456,-0.159,0.263,-0.607,-0.5539999999999999,0.209,-0.242
895,13,Detroit,MI,Michigan,26,1749343,2020,5,25,19839,45,1134.0,5.64,-0.267,-0.0386,0.6990000000000001,-0.391,-0.469,0.14,-0.16
1096,21,San Francisco,CA,California,6,881549,2020,5,25,2389,19,271.0,4.12,-0.6709999999999999,-0.27899999999999997,-0.0629,-0.6759999999999999,-0.614,0.256,-0.301
1297,25,Boston,MA,Massachusetts,25,803907,2020,5,25,17480,63,2174.0,14.4,-0.557,-0.226,0.0471,-0.7440000000000001,-0.56,0.214,-0.255
1498,28,Denver,CO,Colorado,8,727211,2020,5,25,5216,43,717.0,9.74,-0.406,-0.0786,0.214,-0.627,-0.47100000000000003,0.151,-0.182
1699,38,Miami,FL,Florida,12,2716940,2020,5,25,17040,196,627.0,6.19,-0.396,-0.209,-0.607,-0.606,-0.40299999999999997,0.18899999999999997,-0.23199999999999998
1900,48,Honolulu,HI,Hawaii,15,974563,2020,5,25,414,0,42.5,-0.0147,-0.371,-0.12,-0.23600000000000002,-0.613,-0.433,0.17600000000000002,-0.209
90,1,Los Angeles,CA,California,6,10039107,2020,5,24,44988,933,448.0,9.98,-0.439,-0.111,-0.13699999999999998,-0.434,-0.39299999999999996,0.16699999999999998,-0.20199999999999999
291,2,New York City,NY,New York,36,8336817,2020,5,24,202931,869,2434.0,9.33,-0.537,-0.16399999999999998,0.133,-0.59,-0.526,0.213,-0.254
492,7,Dallas,TX,Texas,48,2635516,2020,5,24,8827,178,335.0,7.44,-0.217,-0.06,0.0886,-0.33899999999999997,-0.36,0.12300000000000001,-0.146
693,9,Seattle,WA,Washington,53,2252782,2020,5,24,7821,55,347.0,2.15,-0.446,-0.157,0.319,-0.594,-0.524,0.203,-0.235
894,13,Detroit,MI,Michigan,26,1749343,2020,5,24,19794,77,1132.0,5.79,-0.266,-0.0486,,-0.40299999999999997,-0.434,0.139,-0.158
1095,21,San Francisco,CA,California,6,881549,2020,5,24,2370,17,269.0,4.42,-0.6759999999999999,-0.28300000000000003,-0.159,-0.674,-0.601,0.261,-0.308
1296,25,Boston,MA,Massachusetts,25,803907,2020,5,24,17417,126,2167.0,16.7,-0.556,-0.22,0.0157,-0.7390000000000001,-0.54,0.21100000000000002,-0.252
1497,28,Denver,CO,Colorado,8,727211,2020,5,24,5173,22,711.0,10.2,-0.4,-0.0814,0.171,-0.626,-0.433,0.146,-0.175
1698,38,Miami,FL,Florida,12,2716940,2020,5,24,16844,151,620.0,6.24,-0.386,-0.2,-0.583,-0.591,-0.361,0.174,-0.215
1899,48,Honolulu,HI,Hawaii,15,974563,2020,5,24,414,0,42.5,-0.0147,-0.379,-0.127,-0.3,-0.604,-0.384,0.16699999999999998,-0.19899999999999998
89,1,Los Angeles,CA,California,6,10039107,2020,5,23,44055,1003,439.0,9.61,-0.44,-0.11699999999999999,-0.153,-0.436,-0.39399999999999996,0.17,-0.20800000000000002
290,2,New York City,NY,New York,36,8336817,2020,5,23,202062,764,2424.0,9.56,-0.5429999999999999,-0.171,0.107,-0.594,-0.529,0.21600000000000003,-0.261
491,7,Dallas,TX,Texas,48,2635516,2020,5,23,8649,172,328.0,7.58,-0.21100000000000002,-0.05,0.129,-0.33299999999999996,-0.359,0.12300000000000001,-0.146
692,9,Seattle,WA,Washington,53,2252782,2020,5,23,7766,67,345.0,2.05,-0.451,-0.16,0.27699999999999997,-0.597,-0.526,0.207,-0.244
893,13,Detroit,MI,Michigan,26,1749343,2020,5,23,19717,95,1127.0,5.56,-0.28600000000000003,-0.07,0.47100000000000003,-0.429,-0.441,0.146,-0.17300000000000001
1094,21,San Francisco,CA,California,6,881549,2020,5,23,2353,30,267.0,4.67,-0.6809999999999999,-0.29100000000000004,-0.209,-0.684,-0.607,0.267,-0.32
1295,25,Boston,MA,Massachusetts,25,803907,2020,5,23,17291,111,2151.0,16.8,-0.561,-0.226,-0.00571,-0.741,-0.5429999999999999,0.214,-0.258
1496,28,Denver,CO,Colorado,8,727211,2020,5,23,5151,95,708.0,11.8,-0.391,-0.0686,0.289,-0.623,-0.429,0.14300000000000002,-0.16899999999999998
1697,38,Miami,FL,Florida,12,2716940,2020,5,23,16693,172,614.0,6.98,-0.381,-0.187,-0.5529999999999999,-0.584,-0.359,0.17300000000000001,-0.212
1898,48,Honolulu,HI,Hawaii,15,974563,2020,5,23,414,0,42.5,-0.0147,-0.387,-0.136,-0.313,-0.606,-0.387,0.17,-0.205
88,1,Los Angeles,CA,California,6,10039107,2020,5,22,43052,1015,429.0,9.67,-0.44299999999999995,-0.121,-0.159,-0.43700000000000006,-0.397,0.17300000000000001,-0.213
289,2,New York City,NY,New York,36,8336817,2020,5,22,201298,791,2415.0,9.98,-0.5329999999999999,-0.159,0.255,-0.584,-0.529,0.213,-0.255
490,7,Dallas,TX,Texas,48,2635516,2020,5,22,8477,204,322.0,7.81,-0.231,-0.0714,0.0429,-0.364,-0.37,0.134,-0.166
691,9,Seattle,WA,Washington,53,2252782,2020,5,22,7699,52,342.0,2.14,-0.457,-0.166,0.18600000000000003,-0.606,-0.534,0.21100000000000002,-0.251
892,13,Detroit,MI,Michigan,26,1749343,2020,5,22,19622,64,1122.0,5.88,-0.287,-0.0757,0.303,-0.433,-0.447,0.149,-0.17800000000000002
1093,21,San Francisco,CA,California,6,881549,2020,5,22,2323,121,264.0,4.72,-0.684,-0.294,-0.22899999999999998,-0.693,-0.619,0.27,-0.325
1294,25,Boston,MA,Massachusetts,25,803907,2020,5,22,17180,91,2137.0,21.0,-0.5589999999999999,-0.22399999999999998,0.0457,-0.74,-0.5489999999999999,0.214,-0.258
1495,28,Denver,CO,Colorado,8,727211,2020,5,22,5056,108,695.0,11.9,-0.39,-0.0671,0.29,-0.627,-0.431,0.146,-0.174
1696,38,Miami,FL,Florida,12,2716940,2020,5,22,16521,155,608.0,7.94,-0.39,-0.184,-0.5539999999999999,-0.589,-0.36700000000000005,0.177,-0.21899999999999997
1897,48,Honolulu,HI,Hawaii,15,974563,2020,5,22,414,-2,42.5,0.0,-0.391,-0.141,-0.317,-0.61,-0.39299999999999996,0.171,-0.207
87,1,Los Angeles,CA,California,6,10039107,2020,5,21,42037,1180,419.0,9.55,-0.447,-0.126,-0.16399999999999998,-0.439,-0.401,0.17600000000000002,-0.215
288,2,New York City,NY,New York,36,8336817,2020,5,21,200507,1115,2405.0,11.7,-0.536,-0.161,0.287,-0.586,-0.532,0.214,-0.256
489,7,Dallas,TX,Texas,48,2635516,2020,5,21,8273,183,314.0,7.78,-0.239,-0.0771,0.0329,-0.369,-0.373,0.13699999999999998,-0.16899999999999998
690,9,Seattle,WA,Washington,53,2252782,2020,5,21,7647,28,339.0,2.14,-0.46,-0.171,0.25,-0.606,-0.536,0.21100000000000002,-0.251
891,13,Detroit,MI,Michigan,26,1749343,2020,5,21,19558,106,1118.0,6.27,-0.29,-0.0814,0.33399999999999996,-0.433,-0.451,0.151,-0.18100000000000002
1092,21,San Francisco,CA,California,6,881549,2020,5,21,2202,13,250.0,3.16,-0.6890000000000001,-0.303,-0.247,-0.696,-0.623,0.273,-0.32799999999999996
1293,25,Boston,MA,Massachusetts,25,803907,2020,5,21,17089,127,2126.0,21.5,-0.564,-0.23399999999999999,-0.0129,-0.746,-0.5529999999999999,0.22,-0.263
1494,28,Denver,CO,Colorado,8,727211,2020,5,21,4948,90,680.0,11.6,-0.397,-0.0757,0.237,-0.636,-0.434,0.151,-0.18
1695,38,Miami,FL,Florida,12,2716940,2020,5,21,16366,333,602.0,8.54,-0.40700000000000003,-0.201,-0.586,-0.6,-0.376,0.18600000000000003,-0.228
1896,48,Honolulu,HI,Hawaii,15,974563,2020,5,21,416,0,42.7,0.0293,-0.397,-0.151,-0.331,-0.611,-0.391,0.17300000000000001,-0.209
86,1,Los Angeles,CA,California,6,10039107,2020,5,20,40857,1284,407.0,9.15,-0.451,-0.131,-0.174,-0.441,-0.40399999999999997,0.179,-0.218
287,2,New York City,NY,New York,36,8336817,2020,5,20,199392,682,2392.0,12.0,-0.542,-0.166,0.271,-0.589,-0.535,0.214,-0.256
488,7,Dallas,TX,Texas,48,2635516,2020,5,20,8090,186,307.0,8.07,-0.24600000000000002,-0.0814,0.0329,-0.371,-0.376,0.139,-0.17
689,9,Seattle,WA,Washington,53,2252782,2020,5,20,7619,35,338.0,2.51,-0.461,-0.17300000000000001,0.304,-0.606,-0.537,0.21100000000000002,-0.251
890,13,Detroit,MI,Michigan,26,1749343,2020,5,20,19452,140,1112.0,8.52,-0.314,-0.0986,0.18100000000000002,-0.456,-0.46,0.16,-0.18899999999999997
1091,21,San Francisco,CA,California,6,881549,2020,5,20,2189,3,248.0,3.11,-0.696,-0.311,-0.28600000000000003,-0.6970000000000001,-0.627,0.276,-0.33
