,cityid,cityname,stateabbrev,statename,statefips,city_pop2019,year,month,day,case_count,new_case_count,case_rate,new_case_rate,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home
392,2,New York City,NY,New York,36,8336817,2020,9,2,239512,266,2873.0,3.4,-0.252,-0.0871,0.6509999999999999,-0.406,-0.41700000000000004,0.11199999999999999,-0.127
593,7,Dallas,TX,Texas,48,2635516,2020,9,2,75635,367,2870.0,16.3,-0.16,-0.0871,0.121,-0.331,-0.34600000000000003,0.0986,-0.11599999999999999
794,9,Seattle,WA,Washington,53,2252782,2020,9,2,19838,108,881.0,4.88,-0.24,-0.10300000000000001,0.909,-0.49700000000000005,-0.456,0.13,-0.146
995,13,Detroit,MI,Michigan,26,1749343,2020,9,2,31508,126,1801.0,7.25,-0.0729,-0.0657,,-0.327,-0.326,0.0629,-0.0665
1196,21,San Francisco,CA,California,6,881549,2020,9,2,9620,73,1091.0,9.03,-0.5660000000000001,-0.284,-0.237,-0.6559999999999999,-0.55,0.217,-0.254
1397,25,Boston,MA,Massachusetts,25,803907,2020,9,2,22508,-1040,2800.0,-9.88,-0.307,-0.141,0.469,-0.581,-0.436,0.11699999999999999,-0.133
1598,28,Denver,CO,Colorado,8,727211,2020,9,2,11339,32,1559.0,6.25,-0.239,-0.0371,0.6459999999999999,-0.45299999999999996,-0.371,0.0929,-0.105
1799,38,Miami,FL,Florida,12,2716940,2020,9,2,159399,341,5867.0,27.7,-0.276,-0.15,-0.35100000000000003,-0.503,-0.33399999999999996,0.11900000000000001,-0.14300000000000002
2000,48,Honolulu,HI,Hawaii,15,974563,2020,9,2,8149,301,836.0,22.3,-0.433,-0.19899999999999998,-0.537,-0.62,-0.413,0.179,-0.22
190,1,Los Angeles,CA,California,6,10039107,2020,9,1,242521,753,2416.0,12.4,-0.287,-0.11699999999999999,0.00857,-0.409,-0.359,0.121,-0.14400000000000002
391,2,New York City,NY,New York,36,8336817,2020,9,1,239246,308,2870.0,3.4,-0.251,-0.0865,0.705,-0.406,-0.41600000000000004,0.111,-0.125
592,7,Dallas,TX,Texas,48,2635516,2020,9,1,75268,692,2856.0,17.5,-0.163,-0.0914,0.156,-0.326,-0.341,0.0957,-0.11199999999999999
793,9,Seattle,WA,Washington,53,2252782,2020,9,1,19730,46,876.0,5.29,-0.243,-0.107,0.897,-0.499,-0.456,0.13,-0.146
994,13,Detroit,MI,Michigan,26,1749343,2020,9,1,31382,126,1794.0,8.36,-0.0829,-0.0729,,-0.33299999999999996,-0.326,0.0657,-0.0697
1195,21,San Francisco,CA,California,6,881549,2020,9,1,9547,50,1083.0,9.12,-0.57,-0.29,-0.254,-0.659,-0.55,0.22,-0.257
1396,25,Boston,MA,Massachusetts,25,803907,2020,9,1,23552,80,2930.0,10.3,-0.3,-0.13699999999999998,0.564,-0.58,-0.433,0.114,-0.13
1597,28,Denver,CO,Colorado,8,727211,2020,9,1,11307,42,1555.0,5.28,-0.244,-0.0429,0.599,-0.457,-0.371,0.0943,-0.107
