,cityid,cityname,stateabbrev,statename,statefips,city_pop2019,year,month,day,case_count,new_case_count,case_rate,new_case_rate,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home,concat
1970,48,Honolulu,HI,Hawaii,15,974563,2020,8,3,2083,197,214.0,10.4,-0.303,-0.18899999999999997,-.281,-0.5589999999999999,-0.313,0.121,-0.146,83
160,1,Los Angeles,CA,California,6,10039107,2020,8,2,192167,1474,1914.0,25.9,-0.32,-0.11599999999999999,-.05,-0.39299999999999996,-0.364,0.13,-0.157,82
361,2,New York City,NY,New York,36,8336817,2020,8,2,230410,263,2764.0,3.37,-0.304,-0.10099999999999999,.611,-0.44299999999999995,-0.423,0.122,-0.139,82
562,7,Dallas,TX,Texas,48,2635516,2020,8,2,52576,1986,1995.0,31.2,-0.193,-0.0914,.0757,-0.31,-0.35600000000000004,0.10300000000000001,-0.12,82
763,9,Seattle,WA,Washington,53,2252782,2020,8,2,15529,111,689.0,6.83,-0.266,-0.0914,.929,-0.491,-0.45899999999999996,0.134,-0.15,82
964,13,Detroit,MI,Michigan,26,1749343,2020,8,2,27259,51,1558.0,9.39,-0.0929,-0.0571,.,-0.306,-0.33899999999999997,0.0657,-0.07400000000000001,82
1165,21,San Francisco,CA,California,6,881549,2020,8,2,6814,88,773.0,14.2,-0.594,-0.289,-.191,-0.664,-0.544,0.217,-0.253,82
1366,25,Boston,MA,Massachusetts,25,803907,2020,8,2,21355,76,2656.0,8.16,-0.35600000000000004,-0.157,.454,-0.597,-0.444,0.121,-0.138,82
1567,28,Denver,CO,Colorado,8,727211,2020,8,2,9778,85,1345.0,11.3,-0.256,-0.0457,.536,-0.47100000000000003,-0.379,0.09,-0.10099999999999999,82
1768,38,Miami,FL,Florida,12,2716940,2020,8,2,122689,1483,4516.0,94.3,-0.32899999999999996,-0.16399999999999998,-.517,-0.556,-0.369,0.151,-0.195,82
1969,48,Honolulu,HI,Hawaii,15,974563,2020,8,2,1886,44,194.0,7.93,-0.307,-0.2,-.289,-0.5670000000000001,-0.33,0.13,-0.157,82
159,1,Los Angeles,CA,California,6,10039107,2020,8,1,190693,2212,1900.0,26.1,-0.321,-0.11900000000000001,-.0486,-0.396,-0.364,0.13,-0.157,81
360,2,New York City,NY,New York,36,8336817,2020,8,1,230147,313,2761.0,3.3,-0.304,-0.1,.66,-0.44,-0.42100000000000004,0.121,-0.136,81
561,7,Dallas,TX,Texas,48,2635516,2020,8,1,50590,-709,1920.0,24.8,-0.196,-0.0943,.0757,-0.32,-0.35700000000000004,0.10300000000000001,-0.12,81
762,9,Seattle,WA,Washington,53,2252782,2020,8,1,15418,202,684.0,7.25,-0.266,-0.0929,.947,-0.49,-0.457,0.134,-0.15,81
963,13,Detroit,MI,Michigan,26,1749343,2020,8,1,27208,116,1555.0,10.7,-0.0857,-0.0543,.,-0.3,-0.33399999999999996,0.0629,-0.0682,81
1164,21,San Francisco,CA,California,6,881549,2020,8,1,6726,148,763.0,15.2,-0.591,-0.29,-.191,-0.6659999999999999,-0.541,0.217,-0.253,81
1365,25,Boston,MA,Massachusetts,25,803907,2020,8,1,21279,57,2647.0,8.03,-0.35600000000000004,-0.157,.509,-0.599,-0.44299999999999995,0.11900000000000001,-0.132,81
1566,28,Denver,CO,Colorado,8,727211,2020,8,1,9693,70,1333.0,11.6,-0.257,-0.05,.521,-0.47,-0.379,0.0914,-0.10400000000000001,81
1767,38,Miami,FL,Florida,12,2716940,2020,8,1,121206,2745,4461.0,102.0,-0.311,-0.14300000000000002,-.47,-0.544,-0.359,0.14400000000000002,-0.18,81
1968,48,Honolulu,HI,Hawaii,15,974563,2020,8,1,1842,87,189.0,8.08,-0.349,-0.223,-.356,-0.594,-0.363,0.14400000000000002,-0.18600000000000003,81
158,1,Los Angeles,CA,California,6,10039107,2020,7,31,188481,2609,1877.0,28.1,-0.321,-0.12300000000000001,-.0471,-0.39899999999999997,-0.364,0.13,-0.157,731
359,2,New York City,NY,New York,36,8336817,2020,7,31,229834,283,2757.0,3.34,-0.305,-0.10099999999999999,.656,-0.44,-0.42,0.122,-0.138,731
560,7,Dallas,TX,Texas,48,2635516,2020,7,31,51299,2030,1946.0,35.5,-0.19899999999999998,-0.0986,.08,-0.327,-0.35600000000000004,0.10400000000000001,-0.12300000000000001,731
761,9,Seattle,WA,Washington,53,2252782,2020,7,31,15216,158,675.0,7.29,-0.264,-0.0929,.981,-0.489,-0.456,0.134,-0.15,731
962,13,Detroit,MI,Michigan,26,1749343,2020,7,31,27092,143,1549.0,10.6,-0.0814,-0.05,.,-0.293,-0.33299999999999996,0.0614,-0.0657,731
1163,21,San Francisco,CA,California,6,881549,2020,7,31,6578,152,746.0,14.5,-0.589,-0.289,-.184,-0.669,-0.539,0.217,-0.253,731
1364,25,Boston,MA,Massachusetts,25,803907,2020,7,31,21222,109,2640.0,7.62,-0.359,-0.159,.51,-0.601,-0.44299999999999995,0.11900000000000001,-0.132,731
1565,28,Denver,CO,Colorado,8,727211,2020,7,31,9623,94,1323.0,13.4,-0.259,-0.0529,.494,-0.474,-0.38,0.0929,-0.107,731
1766,38,Miami,FL,Florida,12,2716940,2020,7,31,118461,2546,4360.0,105.0,-0.299,-0.13699999999999998,-.434,-0.531,-0.34600000000000003,0.136,-0.165,731
1967,48,Honolulu,HI,Hawaii,15,974563,2020,7,31,1755,118,180.0,7.77,-0.349,-0.20600000000000002,-.37,-0.597,-0.361,0.146,-0.188,731
157,1,Los Angeles,CA,California,6,10039107,2020,7,30,185872,2489,1851.0,27.1,-0.32299999999999995,-0.124,-.05,-0.401,-0.363,0.131,-0.158,730
358,2,New York City,NY,New York,36,8336817,2020,7,30,229551,314,2753.0,3.49,-0.309,-0.10400000000000001,.64,-0.44299999999999995,-0.418,0.124,-0.14,730
559,7,Dallas,TX,Texas,48,2635516,2020,7,30,49269,537,1869.0,28.1,-0.201,-0.10099999999999999,.07,-0.33299999999999996,-0.354,0.106,-0.124,730
760,9,Seattle,WA,Washington,53,2252782,2020,7,30,15058,160,668.0,7.74,-0.267,-0.0986,.944,-0.49,-0.45399999999999996,0.136,-0.151,730
961,13,Detroit,MI,Michigan,26,1749343,2020,7,30,26949,235,1541.0,10.4,-0.0829,-0.0514,.,-0.299,-0.331,0.0629,-0.067,730
1162,21,San Francisco,CA,California,6,881549,2020,7,30,6426,226,729.0,13.9,-0.59,-0.293,-.209,-0.6729999999999999,-0.539,0.21899999999999997,-0.255,730
1363,25,Boston,MA,Massachusetts,25,803907,2020,7,30,21113,83,2626.0,6.77,-0.36,-0.157,.51,-0.604,-0.44,0.12,-0.133,730
1564,28,Denver,CO,Colorado,8,727211,2020,7,30,9529,47,1310.0,14.1,-0.261,-0.0571,.474,-0.47600000000000003,-0.379,0.0957,-0.109,730
1765,38,Miami,FL,Florida,12,2716940,2020,7,30,115915,2773,4266.0,110.0,-0.303,-0.156,-.437,-0.534,-0.34600000000000003,0.13699999999999998,-0.16699999999999998,730
1966,48,Honolulu,HI,Hawaii,15,974563,2020,7,30,1637,121,168.0,6.89,-0.34299999999999997,-0.18600000000000003,-.371,-0.597,-0.361,0.146,-0.188,730
156,1,Los Angeles,CA,California,6,10039107,2020,7,29,183383,4741,1827.0,26.3,-0.32299999999999995,-0.124,-.0471,-0.40299999999999997,-0.361,0.133,-0.16,729
357,2,New York City,NY,New York,36,8336817,2020,7,29,229237,298,2750.0,3.61,-0.309,-0.102,.619,-0.44299999999999995,-0.415,0.124,-0.14,729
558,7,Dallas,TX,Texas,48,2635516,2020,7,29,48732,704,1849.0,28.7,-0.203,-0.10300000000000001,.07,-0.336,-0.353,0.106,-0.124,729
759,9,Seattle,WA,Washington,53,2252782,2020,7,29,14898,150,661.0,7.84,-0.26899999999999996,-0.10400000000000001,.903,-0.489,-0.45399999999999996,0.13699999999999998,-0.153,729
960,13,Detroit,MI,Michigan,26,1749343,2020,7,29,26714,358,1527.0,9.55,-0.0829,-0.0529,.,-0.3,-0.33,0.0629,-0.067,729
1161,21,San Francisco,CA,California,6,881549,2020,7,29,6200,132,703.0,12.0,-0.589,-0.293,-.207,-0.6729999999999999,-0.537,0.21899999999999997,-0.255,729
1362,25,Boston,MA,Massachusetts,25,803907,2020,7,29,21030,70,2616.0,6.26,-0.366,-0.161,.476,-0.609,-0.44,0.12300000000000001,-0.136,729
1563,28,Denver,CO,Colorado,8,727211,2020,7,29,9482,95,1304.0,16.3,-0.261,-0.0571,.477,-0.47700000000000004,-0.377,0.0957,-0.109,729
1764,38,Miami,FL,Florida,12,2716940,2020,7,29,113142,2791,4164.0,109.0,-0.309,-0.16899999999999998,-.46,-0.54,-0.34600000000000003,0.14,-0.16899999999999998,729
1965,48,Honolulu,HI,Hawaii,15,974563,2020,7,29,1516,97,156.0,5.85,-0.336,-0.166,-.367,-0.596,-0.36,0.146,-0.188,729
155,1,Los Angeles,CA,California,6,10039107,2020,7,28,178642,2614,1779.0,24.1,-0.32299999999999995,-0.12300000000000001,-.0471,-0.40399999999999997,-0.361,0.133,-0.16,728
356,2,New York City,NY,New York,36,8336817,2020,7,28,228939,199,2746.0,3.7,-0.315,-0.11,.565,-0.447,-0.414,0.126,-0.142,728
557,7,Dallas,TX,Texas,48,2635516,2020,7,28,48028,789,1822.0,27.1,-0.20600000000000002,-0.10400000000000001,.0686,-0.33899999999999997,-0.353,0.107,-0.126,728
758,9,Seattle,WA,Washington,53,2252782,2020,7,28,14748,110,655.0,7.99,-0.271,-0.107,.849,-0.489,-0.45399999999999996,0.139,-0.154,728
959,13,Detroit,MI,Michigan,26,1749343,2020,7,28,26356,170,1507.0,7.53,-0.0814,-0.05,.,-0.3,-0.32899999999999996,0.0643,-0.0686,728
1160,21,San Francisco,CA,California,6,881549,2020,7,28,6068,43,688.0,11.4,-0.5870000000000001,-0.293,-.203,-0.6709999999999999,-0.536,0.22,-0.256,728
1361,25,Boston,MA,Massachusetts,25,803907,2020,7,28,20960,46,2607.0,5.51,-0.37,-0.16399999999999998,.446,-0.61,-0.439,0.126,-0.139,728
1562,28,Denver,CO,Colorado,8,727211,2020,7,28,9387,131,1291.0,16.8,-0.261,-0.06,.444,-0.47700000000000004,-0.377,0.0971,-0.111,728
1763,38,Miami,FL,Florida,12,2716940,2020,7,28,110351,3037,4062.0,109.0,-0.314,-0.177,-.489,-0.544,-0.34600000000000003,0.14400000000000002,-0.174,728
1964,48,Honolulu,HI,Hawaii,15,974563,2020,7,28,1419,46,146.0,4.68,-0.331,-0.156,-.37,-0.596,-0.359,0.146,-0.188,728
154,1,Los Angeles,CA,California,6,10039107,2020,7,27,176028,2033,1753.0,24.2,-0.32299999999999995,-0.121,-.0457,-0.40399999999999997,-0.363,0.133,-0.16,727
355,2,New York City,NY,New York,36,8336817,2020,7,27,228740,295,2744.0,4.03,-0.314,-0.109,.587,-0.446,-0.415,0.126,-0.142,727
556,7,Dallas,TX,Texas,48,2635516,2020,7,27,47239,426,1792.0,26.8,-0.2,-0.0971,.113,-0.331,-0.353,0.10400000000000001,-0.12300000000000001,727
757,9,Seattle,WA,Washington,53,2252782,2020,7,27,14638,186,650.0,8.22,-0.27,-0.106,.871,-0.49,-0.45399999999999996,0.139,-0.154,727
958,13,Detroit,MI,Michigan,26,1749343,2020,7,27,26186,77,1497.0,7.64,-0.0814,-0.0486,.,-0.3,-0.33,0.0643,-0.0686,727
1159,21,San Francisco,CA,California,6,881549,2020,7,27,6025,90,683.0,11.6,-0.586,-0.29,-.196,-0.6729999999999999,-0.537,0.22,-0.256,727
1360,25,Boston,MA,Massachusetts,25,803907,2020,7,27,20914,18,2602.0,5.21,-0.369,-0.161,.48,-0.609,-0.439,0.124,-0.138,727
1561,28,Denver,CO,Colorado,8,727211,2020,7,27,9256,51,1273.0,16.2,-0.26,-0.0571,.459,-0.47700000000000004,-0.377,0.0971,-0.111,727
1762,38,Miami,FL,Florida,12,2716940,2020,7,27,107314,2560,3950.0,107.0,-0.317,-0.18,-.506,-0.547,-0.34600000000000003,0.146,-0.17600000000000002,727
1963,48,Honolulu,HI,Hawaii,15,974563,2020,7,27,1373,28,141.0,4.31,-0.326,-0.14400000000000002,-.353,-0.593,-0.359,0.14400000000000002,-0.187,727
153,1,Los Angeles,CA,California,6,10039107,2020,7,26,173995,1670,1733.0,25.8,-0.324,-0.12,-.0429,-0.40399999999999997,-0.363,0.133,-0.16,726
354,2,New York City,NY,New York,36,8336817,2020,7,26,228445,225,2740.0,4.01,-0.317,-0.111,.577,-0.44799999999999995,-0.41600000000000004,0.128,-0.14400000000000002,726
555,7,Dallas,TX,Texas,48,2635516,2020,7,26,46813,800,1776.0,30.1,-0.201,-0.0971,.106,-0.331,-0.353,0.10400000000000001,-0.12300000000000001,726
756,9,Seattle,WA,Washington,53,2252782,2020,7,26,14452,178,642.0,8.19,-0.271,-0.106,.867,-0.49,-0.45399999999999996,0.14,-0.156,726
957,13,Detroit,MI,Michigan,26,1749343,2020,7,26,26109,207,1493.0,7.75,-0.0743,-0.0429,.,-0.299,-0.33,0.0614,-0.0652,726
1158,21,San Francisco,CA,California,6,881549,2020,7,26,5935,145,673.0,11.8,-0.5870000000000001,-0.29100000000000004,-.2,-0.6709999999999999,-0.537,0.22,-0.256,726
1359,25,Boston,MA,Massachusetts,25,803907,2020,7,26,20896,69,2599.0,5.24,-0.369,-0.16,.48,-0.609,-0.439,0.126,-0.139,726
1560,28,Denver,CO,Colorado,8,727211,2020,7,26,9205,104,1266.0,16.4,-0.26,-0.0529,.45,-0.47600000000000003,-0.376,0.0971,-0.111,726
1761,38,Miami,FL,Florida,12,2716940,2020,7,26,104754,2901,3856.0,108.0,-0.319,-0.179,-.51,-0.5489999999999999,-0.344,0.147,-0.177,726
1962,48,Honolulu,HI,Hawaii,15,974563,2020,7,26,1345,54,138.0,4.1,-0.32,-0.131,-.336,-0.581,-0.341,0.136,-0.177,726
152,1,Los Angeles,CA,California,6,10039107,2020,7,25,172325,3568,1717.0,27.4,-0.326,-0.11900000000000001,-.0457,-0.406,-0.363,0.133,-0.16,725
353,2,New York City,NY,New York,36,8336817,2020,7,25,228220,338,2737.0,4.15,-0.321,-0.113,.574,-0.45,-0.41700000000000004,0.129,-0.146,725
554,7,Dallas,TX,Texas,48,2635516,2020,7,25,46013,1267,1746.0,31.4,-0.203,-0.0957,.0914,-0.33399999999999996,-0.353,0.106,-0.126,725
755,9,Seattle,WA,Washington,53,2252782,2020,7,25,14274,208,634.0,8.12,-0.273,-0.106,.867,-0.491,-0.456,0.14,-0.156,725
956,13,Detroit,MI,Michigan,26,1749343,2020,7,25,25902,108,1481.0,6.75,-0.0843,-0.05,.,-0.304,-0.33299999999999996,0.0643,-0.0711,725
1157,21,San Francisco,CA,California,6,881549,2020,7,25,5790,108,657.0,10.9,-0.589,-0.29100000000000004,-.213,-0.6729999999999999,-0.537,0.221,-0.259,725
1358,25,Boston,MA,Massachusetts,25,803907,2020,7,25,20827,34,2591.0,4.83,-0.373,-0.16399999999999998,.469,-0.609,-0.439,0.127,-0.142,725
1559,28,Denver,CO,Colorado,8,727211,2020,7,25,9101,162,1251.0,15.3,-0.26,-0.0529,.453,-0.479,-0.374,0.0971,-0.111,725
1760,38,Miami,FL,Florida,12,2716940,2020,7,25,101853,3424,3749.0,110.0,-0.32,-0.177,-.513,-0.5489999999999999,-0.34299999999999997,0.147,-0.177,725
1961,48,Honolulu,HI,Hawaii,15,974563,2020,7,25,1291,66,132.0,3.68,-0.271,-0.10300000000000001,-.264,-0.551,-0.31,0.12,-0.145,725
151,1,Los Angeles,CA,California,6,10039107,2020,7,24,168757,1909,1681.0,26.2,-0.327,-0.11699999999999999,-.0486,-0.406,-0.363,0.134,-0.162,724
352,2,New York City,NY,New York,36,8336817,2020,7,24,227882,365,2733.0,4.23,-0.324,-0.115,.567,-0.452,-0.41700000000000004,0.129,-0.147,724
553,7,Dallas,TX,Texas,48,2635516,2020,7,24,44746,659,1698.0,30.1,-0.203,-0.0943,.0757,-0.33399999999999996,-0.35100000000000003,0.106,-0.126,724
754,9,Seattle,WA,Washington,53,2252782,2020,7,24,14066,229,624.0,7.97,-0.27399999999999997,-0.106,.876,-0.49,-0.45399999999999996,0.139,-0.154,724
955,13,Detroit,MI,Michigan,26,1749343,2020,7,24,25794,121,1474.0,6.98,-0.0871,-0.05,.,-0.307,-0.331,0.0643,-0.0711,724
1156,21,San Francisco,CA,California,6,881549,2020,7,24,5682,115,645.0,11.4,-0.59,-0.29100000000000004,-.226,-0.674,-0.536,0.223,-0.262,724
1357,25,Boston,MA,Massachusetts,25,803907,2020,7,24,20793,61,2586.0,5.22,-0.376,-0.16699999999999998,.469,-0.61,-0.439,0.129,-0.145,724
1558,28,Denver,CO,Colorado,8,727211,2020,7,24,8939,130,1229.0,13.5,-0.261,-0.0514,.47,-0.47700000000000004,-0.373,0.0957,-0.10800000000000001,724
1759,38,Miami,FL,Florida,12,2716940,2020,7,24,98429,3362,3623.0,108.0,-0.327,-0.183,-.539,-0.556,-0.34600000000000003,0.153,-0.187,724
1960,48,Honolulu,HI,Hawaii,15,974563,2020,7,24,1225,58,126.0,2.93,-0.27,-0.11699999999999999,-.244,-0.551,-0.31,0.11699999999999999,-0.14,724
150,1,Los Angeles,CA,California,6,10039107,2020,7,23,166848,1978,1662.0,27.6,-0.327,-0.11599999999999999,-.0471,-0.406,-0.364,0.134,-0.162,723
351,2,New York City,NY,New York,36,8336817,2020,7,23,227517,387,2729.0,4.24,-0.322,-0.11199999999999999,.583,-0.451,-0.418,0.129,-0.146,723
552,7,Dallas,TX,Texas,48,2635516,2020,7,23,44087,648,1673.0,33.0,-0.204,-0.0929,.0729,-0.336,-0.353,0.107,-0.127,723
753,9,Seattle,WA,Washington,53,2252782,2020,7,23,13837,176,614.0,7.88,-0.276,-0.10400000000000001,.859,-0.49,-0.456,0.139,-0.154,723
954,13,Detroit,MI,Michigan,26,1749343,2020,7,23,25673,129,1468.0,7.26,-0.0886,-0.0486,.,-0.306,-0.33299999999999996,0.0643,-0.0711,723
1155,21,San Francisco,CA,California,6,881549,2020,7,23,5567,105,632.0,11.4,-0.5870000000000001,-0.287,-.211,-0.6729999999999999,-0.536,0.223,-0.262,723
1356,25,Boston,MA,Massachusetts,25,803907,2020,7,23,20732,54,2579.0,5.1,-0.381,-0.17300000000000001,.431,-0.611,-0.441,0.131,-0.14800000000000002,723
1557,28,Denver,CO,Colorado,8,727211,2020,7,23,8809,159,1211.0,12.7,-0.261,-0.0486,.467,-0.479,-0.373,0.0957,-0.10800000000000001,723
1758,38,Miami,FL,Florida,12,2716940,2020,7,23,95067,2723,3499.0,103.0,-0.33,-0.18600000000000003,-.551,-0.5589999999999999,-0.34600000000000003,0.156,-0.19,723
1959,48,Honolulu,HI,Hawaii,15,974563,2020,7,23,1167,50,120.0,2.42,-0.276,-0.136,-.237,-0.5529999999999999,-0.31,0.11699999999999999,-0.14,723
149,1,Los Angeles,CA,California,6,10039107,2020,7,22,164870,3197,1642.0,31.1,-0.327,-0.114,-.0486,-0.406,-0.364,0.134,-0.162,722
350,2,New York City,NY,New York,36,8336817,2020,7,22,227130,351,2724.0,4.23,-0.319,-0.11,.629,-0.45,-0.419,0.128,-0.146,722
551,7,Dallas,TX,Texas,48,2635516,2020,7,22,43439,413,1648.0,35.1,-0.204,-0.09,.0629,-0.336,-0.354,0.109,-0.129,722
752,9,Seattle,WA,Washington,53,2252782,2020,7,22,13661,173,606.0,8.28,-0.27399999999999997,-0.1,.877,-0.49,-0.456,0.139,-0.154,722
953,13,Detroit,MI,Michigan,26,1749343,2020,7,22,25544,110,1460.0,8.13,-0.0957,-0.0543,.,-0.316,-0.336,0.0686,-0.0754,722
1154,21,San Francisco,CA,California,6,881549,2020,7,22,5462,96,620.0,12.4,-0.5870000000000001,-0.28600000000000003,-.219,-0.6729999999999999,-0.537,0.22399999999999998,-0.263,722
1355,25,Boston,MA,Massachusetts,25,803907,2020,7,22,20678,28,2572.0,4.74,-0.373,-0.16399999999999998,.494,-0.609,-0.441,0.129,-0.145,722
1556,28,Denver,CO,Colorado,8,727211,2020,7,22,8650,118,1189.0,10.8,-0.263,-0.0486,.443,-0.479,-0.374,0.0957,-0.10800000000000001,722
1757,38,Miami,FL,Florida,12,2716940,2020,7,22,92344,2788,3399.0,105.0,-0.326,-0.177,-.533,-0.556,-0.344,0.154,-0.18899999999999997,722
1958,48,Honolulu,HI,Hawaii,15,974563,2020,7,22,1117,17,115.0,1.92,-0.281,-0.151,-.234,-0.5529999999999999,-0.311,0.11699999999999999,-0.14,722
148,1,Los Angeles,CA,California,6,10039107,2020,7,21,161673,2628,1610.0,30.4,-0.327,-0.113,-.0514,-0.40399999999999997,-0.364,0.136,-0.16399999999999998,721
349,2,New York City,NY,New York,36,8336817,2020,7,21,226779,391,2720.0,4.26,-0.31,-0.0994,.693,-0.446,-0.418,0.126,-0.14300000000000002,721
550,7,Dallas,TX,Texas,48,2635516,2020,7,21,43026,734,1633.0,38.6,-0.203,-0.0857,.0571,-0.33399999999999996,-0.354,0.109,-0.129,721
751,9,Seattle,WA,Washington,53,2252782,2020,7,21,13488,147,599.0,7.88,-0.271,-0.0943,.96,-0.48700000000000004,-0.456,0.139,-0.154,721
952,13,Detroit,MI,Michigan,26,1749343,2020,7,21,25434,183,1454.0,9.31,-0.0929,-0.05,.,-0.313,-0.336,0.0671,-0.0738,721
1153,21,San Francisco,CA,California,6,881549,2020,7,21,5366,58,609.0,11.7,-0.5870000000000001,-0.28600000000000003,-.221,-0.6729999999999999,-0.537,0.22399999999999998,-0.263,721
1354,25,Boston,MA,Massachusetts,25,803907,2020,7,21,20650,29,2569.0,4.69,-0.369,-0.161,.521,-0.607,-0.441,0.127,-0.14300000000000002,721
1555,28,Denver,CO,Colorado,8,727211,2020,7,21,8532,103,1173.0,10.2,-0.261,-0.0457,.457,-0.47700000000000004,-0.373,0.0943,-0.107,721
1756,38,Miami,FL,Florida,12,2716940,2020,7,21,89556,2522,3296.0,104.0,-0.32299999999999995,-0.17,-.516,-0.5529999999999999,-0.34299999999999997,0.153,-0.187,721
1957,48,Honolulu,HI,Hawaii,15,974563,2020,7,21,1100,21,113.0,2.05,-0.28300000000000003,-0.154,-.227,-0.551,-0.311,0.11699999999999999,-0.14,721
147,1,Los Angeles,CA,California,6,10039107,2020,7,20,159045,3158,1584.0,32.6,-0.326,-0.11,-.0557,-0.40399999999999997,-0.363,0.136,-0.16399999999999998,720
348,2,New York City,NY,New York,36,8336817,2020,7,20,226388,284,2716.0,4.13,-0.308,-0.0929,.706,-0.445,-0.418,0.125,-0.14300000000000002,720
549,7,Dallas,TX,Texas,48,2635516,2020,7,20,42292,1026,1605.0,40.0,-0.203,-0.0829,.05,-0.33399999999999996,-0.354,0.11,-0.13,720
750,9,Seattle,WA,Washington,53,2252782,2020,7,20,13341,180,592.0,7.86,-0.273,-0.0957,.96,-0.484,-0.456,0.14,-0.155,720
951,13,Detroit,MI,Michigan,26,1749343,2020,7,20,25251,91,1443.0,9.4,-0.0914,-0.0486,.,-0.311,-0.336,0.0671,-0.0738,720
1152,21,San Francisco,CA,California,6,881549,2020,7,20,5308,103,602.0,11.6,-0.586,-0.28300000000000003,-.22,-0.6709999999999999,-0.536,0.22399999999999998,-0.263,720
1353,25,Boston,MA,Massachusetts,25,803907,2020,7,20,20621,20,2565.0,4.96,-0.373,-0.163,.47,-0.607,-0.441,0.13,-0.146,720
1554,28,Denver,CO,Colorado,8,727211,2020,7,20,8429,58,1159.0,9.37,-0.264,-0.0471,.419,-0.47700000000000004,-0.374,0.0943,-0.107,720
1755,38,Miami,FL,Florida,12,2716940,2020,7,20,87034,2797,3203.0,102.0,-0.321,-0.166,-.503,-0.55,-0.34299999999999997,0.151,-0.18600000000000003,720
1956,48,Honolulu,HI,Hawaii,15,974563,2020,7,20,1079,14,111.0,2.01,-0.28600000000000003,-0.157,-.233,-0.5529999999999999,-0.313,0.11900000000000001,-0.141,720
146,1,Los Angeles,CA,California,6,10039107,2020,7,19,155887,2846,1553.0,31.8,-0.321,-0.107,-.0643,-0.40399999999999997,-0.361,0.136,-0.16399999999999998,719
347,2,New York City,NY,New York,36,8336817,2020,7,19,226104,305,2712.0,4.08,-0.305,-0.0829,.72,-0.442,-0.41700000000000004,0.125,-0.142,719
548,7,Dallas,TX,Texas,48,2635516,2020,7,19,41266,1044,1566.0,40.5,-0.203,-0.08,.0386,-0.33399999999999996,-0.354,0.111,-0.132,719
749,9,Seattle,WA,Washington,53,2252782,2020,7,19,13161,168,584.0,7.7,-0.273,-0.0986,.946,-0.484,-0.45399999999999996,0.14,-0.155,719
950,13,Detroit,MI,Michigan,26,1749343,2020,7,19,25160,85,1438.0,9.31,-0.0929,-0.0486,.,-0.311,-0.33399999999999996,0.0686,-0.0755,719
1151,21,San Francisco,CA,California,6,881549,2020,7,19,5205,86,590.0,11.0,-0.586,-0.281,-.223,-0.6709999999999999,-0.534,0.226,-0.265,719
1352,25,Boston,MA,Massachusetts,25,803907,2020,7,19,20601,46,2563.0,5.33,-0.374,-0.163,.446,-0.609,-0.441,0.131,-0.14800000000000002,719
1553,28,Denver,CO,Colorado,8,727211,2020,7,19,8371,51,1151.0,9.21,-0.267,-0.0486,.386,-0.479,-0.374,0.0957,-0.109,719
1754,38,Miami,FL,Florida,12,2716940,2020,7,19,84237,3212,3100.0,104.0,-0.321,-0.16399999999999998,-.503,-0.5489999999999999,-0.34299999999999997,0.151,-0.18600000000000003,719
1955,48,Honolulu,HI,Hawaii,15,974563,2020,7,19,1065,25,109.0,2.08,-0.287,-0.159,-.237,-0.5529999999999999,-0.313,0.12,-0.14300000000000002,719
145,1,Los Angeles,CA,California,6,10039107,2020,7,18,153041,2722,1524.0,32.4,-0.32,-0.106,-.0714,-0.40399999999999997,-0.359,0.136,-0.16399999999999998,718
346,2,New York City,NY,New York,36,8336817,2020,7,18,225799,385,2708.0,4.14,-0.302,-0.0727,.758,-0.43700000000000006,-0.415,0.12300000000000001,-0.14,718
547,7,Dallas,TX,Texas,48,2635516,2020,7,18,40222,1031,1526.0,41.2,-0.203,-0.0786,.0329,-0.331,-0.353,0.111,-0.132,718
748,9,Seattle,WA,Washington,53,2252782,2020,7,18,12993,184,577.0,7.74,-0.276,-0.10099999999999999,.879,-0.48700000000000004,-0.45399999999999996,0.14400000000000002,-0.16399999999999998,718
949,13,Detroit,MI,Michigan,26,1749343,2020,7,18,25075,136,1433.0,9.42,-0.08,-0.0386,.,-0.303,-0.33,0.0657,-0.0697,718
1150,21,San Francisco,CA,California,6,881549,2020,7,18,5119,141,581.0,11.2,-0.584,-0.27699999999999997,-.2,-0.669,-0.534,0.226,-0.265,718
1351,25,Boston,MA,Massachusetts,25,803907,2020,7,18,20555,56,2557.0,5.03,-0.373,-0.156,.463,-0.607,-0.44,0.131,-0.14800000000000002,718
1552,28,Denver,CO,Colorado,8,727211,2020,7,18,8320,66,1144.0,9.59,-0.27,-0.0471,.366,-0.479,-0.373,0.0957,-0.109,718
1753,38,Miami,FL,Florida,12,2716940,2020,7,18,81025,3159,2982.0,106.0,-0.32,-0.161,-.503,-0.5489999999999999,-0.34299999999999997,0.153,-0.18899999999999997,718
1954,48,Honolulu,HI,Hawaii,15,974563,2020,7,18,1040,15,107.0,1.98,-0.294,-0.161,-.237,-0.5529999999999999,-0.309,0.12,-0.14300000000000002,718
144,1,Los Angeles,CA,California,6,10039107,2020,7,17,150319,2851,1497.0,32.7,-0.319,-0.10400000000000001,-.0786,-0.40399999999999997,-0.35600000000000004,0.136,-0.16399999999999998,717
345,2,New York City,NY,New York,36,8336817,2020,7,17,225414,369,2704.0,4.0,-0.304,-0.0641,.664,-0.442,-0.415,0.127,-0.146,717
